ID;description;duration;name;price;isActive
61;"diam lorem, auctor quis, tristique ac, eleifend vitae, erat. Vivamus nisi. Mauris nulla. Integer";32;"Praesent Associates";66.83;1
62;"eget magna. Suspendisse tristique neque venenatis lacus. Etiam bibendum fermentum metus. Aenean sed pede nec ante blandit";35;"Dolor Sit Amet Inc.";8.75;1
63;"venenatis lacus. Etiam bibendum fermentum metus. Aenean sed pede nec ante blandit viverra. Donec tempus, lorem fringilla ornare placerat,";37;"Sem Semper Associates";15.11;1
64;"malesuada augue ut lacus. Nulla tincidunt, neque vitae semper egestas, urna justo faucibus lectus, a sollicitudin";14;"Pede Foundation";1.44;1
65;"est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque sed dictum";43;"Tristique Pharetra Limited";32.15;1
66;"libero. Morbi accumsan laoreet ipsum. Curabitur consequat, lectus sit amet luctus vulputate, nisi sem semper erat, in consectetuer ipsum";28;"Eu Corporation";11.15;1
67;"eu erat semper rutrum. Fusce dolor quam, elementum at, egestas a, scelerisque";24;"Suscipit Nonummy Corp.";46.18;1
68;"primis in";42;"Vulputate Eu LLP";85.85;1
69;"interdum. Sed";34;"Feugiat Inc.";7.45;1
70;"Maecenas ornare egestas ligula. Nullam feugiat placerat velit. Quisque varius. Nam porttitor scelerisque neque. Nullam";30;"Quisque Foundation";72.49;1
71;"tortor nibh sit amet orci. Ut sagittis";35;"Amet Incorporated";25.54;1
72;"Integer urna.";28;"Sit PC";76.16;1
73;"ultricies sem magna nec quam. Curabitur vel lectus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.";18;"Donec Inc.";52.34;1
74;"rutrum eu, ultrices sit amet, risus. Donec nibh enim, gravida sit amet, dapibus";22;"Mollis Nec Cursus Incorporated";80.35;1
75;"In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus. Donec egestas. Duis ac arcu. Nunc mauris.";29;"Eu Corporation";11.89;1
76;"neque sed sem egestas blandit. Nam nulla magna, malesuada vel, convallis in, cursus et, eros.";37;"A Aliquet Vel LLP";4.14;1
77;"malesuada. Integer id magna et ipsum cursus";40;"Dolor Donec Fringilla Corporation";93.08;1
78;"Vivamus molestie dapibus ligula. Aliquam erat volutpat. Nulla dignissim. Maecenas ornare egestas ligula. Nullam feugiat";34;"Luctus Incorporated";92.05;1
79;"est arcu ac orci. Ut semper pretium neque. Morbi quis urna. Nunc quis arcu vel quam";4;"Diam Luctus Lobortis Foundation";5.3;1
80;"massa. Integer vitae nibh. Donec est mauris,";46;"Nam Consulting";29.96;1
81;"condimentum eget, volutpat ornare, facilisis eget, ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida nunc";48;"Sapien Gravida PC";11.39;1
82;"vel pede blandit congue. In scelerisque scelerisque dui. Suspendisse ac metus";27;"Elementum Dui Inc.";59.19;1
83;"arcu. Vestibulum";24;"Diam Luctus Lobortis LLC";27.46;1
84;"libero mauris, aliquam eu, accumsan sed,";22;"Nec Mollis Vitae Foundation";45.86;1
85;"rutrum. Fusce dolor quam, elementum at, egestas a, scelerisque sed, sapien. Nunc pulvinar arcu et pede. Nunc";19;"A Consulting";68.46;1
86;"Quisque fringilla euismod enim. Etiam gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat. Cras dictum";50;"Tortor Dictum Eu Limited";44.86;1
87;"vel est tempor bibendum. Donec felis orci, adipiscing non, luctus";31;"Sed Associates";58.82;1
88;"tellus. Phasellus elit pede, malesuada vel,";22;"Nam Ac Nulla Associates";92.52;1
89;"mattis ornare, lectus ante dictum mi, ac mattis velit justo nec ante. Maecenas mi felis,";48;"Luctus Ut Ltd";77.98;1
90;"adipiscing ligula. Aenean gravida nunc sed pede. Cum sociis natoque penatibus";48;"Proin Velit Sed Consulting";85.65;1
91;"sodales purus, in molestie tortor nibh sit amet orci. Ut sagittis lobortis mauris. Suspendisse aliquet molestie tellus. Aenean egestas hendrerit";18;"Mattis Inc.";10.3;1
92;"vulputate mauris sagittis placerat. Cras dictum ultricies ligula. Nullam enim. Sed nulla ante, iaculis nec, eleifend non,";17;"Libero Donec Inc.";13.7;1
93;"Donec elementum, lorem ut aliquam iaculis, lacus pede sagittis augue, eu tempor erat neque non quam. Pellentesque habitant";44;"Ad Litora Torquent Company";69.46;1
94;"Phasellus elit";47;"Ipsum Cursus Vestibulum Inc.";62.83;1
95;"id ante dictum cursus. Nunc mauris elit, dictum";25;"Convallis Convallis Dolor PC";58.35;1
96;"dictum mi, ac mattis velit justo nec ante. Maecenas mi";25;"Dolor Sit Amet LLC";48.82;1
97;"varius ultrices, mauris ipsum porta elit, a feugiat tellus";39;"Dui Consulting";7.54;1
98;"erat neque non quam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas.";48;"Lacinia Sed Limited";74.29;1
99;"quis accumsan convallis,";5;"Nisi A Odio Limited";46.88;1
100;"Suspendisse dui. Fusce diam nunc, ullamcorper eu, euismod ac, fermentum vel, mauris. Integer sem elit, pharetra ut,";36;"Ornare Lectus Industries";88.07;1
101;"Mauris non dui";36;"Eleifend Cras Sed Industries";15.88;1
102;"text";5;"text";10.4;1
105;"hello";5;"reality";1.0;1
103;"text";4;"text";10.4;1
104;"hello2";5;"roman4";30.0;1
106;"hello";5;"reality";1.0;1
107;"hsww";18;"hsww";15.5;1
109;"hello";4;"roman";15.0;1
111;"hello";4;"roman";15.0;1
112;"hello";4;"roman";15.0;1
113;"hy";15;"hy";13.0;0
114;"hello";4;"roman";15.0;0
115;"new";4;"new wow";11.0;1
116;"wow";4;"certificate";11.0;1
117;"wow";4;"certificate";11.0;1
118;"wow";4;"certificate";11.0;1
119;"blandit ultrices enim lorem ipsum dolor sit amet consectetuer";10;"Persevering 3rd generation utilisation";91.1;1
120;"luctus et ultrices posuere cubilia curae duis faucibus accumsan odio";47;"Assimilated web-enabled solution";78.04;1
121;"metus sapien ut nunc vestibulum ante ipsum";35;"Front-line multimedia installation";63.94;1
122;"mauris eget massa tempor convallis nulla neque";51;"Customiable next generation complexity";1.82;1
123;"dictumst etiam faucibus cursus urna ut tellus";6;"Streamlined hybrid frame";57.85;1
124;"et ultrices posuere cubilia curae duis faucibus accumsan";26;"Optimied homogeneous matrices";1.39;1
125;"tristique in tempus sit amet";18;"Customer-focused reciprocal utilisation";90.57;1
126;"nam nulla integer pede justo lacinia";27;"Front-line real-time strategy";14.19;1
127;"vel augue vestibulum rutrum rutrum";36;"Inverse disintermediate interface";24.54;1
128;"eget eleifend luctus ultricies eu nibh quisque id justo";13;"Self-enabling multimedia success";7.39;1
129;"interdum eu tincidunt in leo maecenas pulvinar lobortis est";45;"Innovative real-time focus group";18.34;1
130;"integer pede justo lacinia eget tincidunt eget";29;"Face to face optimiing attitude";76.34;1
131;"libero nullam sit amet turpis elementum ligula vehicula";25;"Customer-focused dedicated help-desk";24.92;1
132;"eros elementum pellentesque quisque porta volutpat erat";12;"Sharable context-sensitive paradigm";5.61;1
133;"maecenas ut massa quis augue";46;"Assimilated next generation internet solution";83.12;1
134;"nunc commodo placerat praesent blandit nam";20;"Networked bi-directional toolset";73.49;1
135;"amet erat nulla tempus vivamus in felis eu";3;"new world";55.37;1
136;"montes nascetur ridiculus mus etiam vel augue";50;"Object-based secondary process improvement";2.87;1
137;"mus vivamus vestibulum sagittis sapien";5;"Visionary dynamic knowledge user";12.9;1
138;"ullamcorper augue a suscipit nulla elit";46;"Cloned local portal";85.33;1
139;"erat quisque erat eros viverra eget congue eget semper rutrum";5;"Intuitive multimedia benchmark";36.74;1
140;"tempor convallis nulla neque libero convallis";34;"Enterprise-wide dedicated matrices";62.59;1
141;"ipsum praesent blandit lacinia erat";25;"Inverse analying instruction set";87.44;1
142;"nullam porttitor lacus at turpis donec posuere";33;"Polarised motivating neural-net";85.64;1
143;"semper sapien a libero nam";14;"Intuitive 5th generation interface";27.66;1
144;"primis in faucibus orci luctus et ultrices posuere cubilia";41;"Proactive 24 hour adapter";88.59;1
145;"laoreet ut rhoncus aliquet pulvinar";22;"Devolved multimedia algorithm";21.36;1
146;"integer non velit donec diam neque vestibulum eget vulputate";29;"Re-engineered stable forecast";11.36;1
147;"tristique in tempus sit amet sem fusce";33;"Secured regional installation";21.02;1
148;"quisque erat eros viverra eget congue eget semper rutrum nulla";53;"Persevering non-volatile leverage";84.3;1
149;"ac neque duis bibendum morbi";36;"Visionary value-added secured line";14.84;1
150;"non velit donec diam neque";53;"Synergied transitional complexity";56.98;1
151;"consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices";40;"Cloned disintermediate intranet";40.19;1
152;"augue luctus tincidunt nulla mollis molestie lorem quisque ut erat";28;"Enterprise-wide responsive complexity";55.75;1
153;"risus auctor sed tristique in tempus sit";35;"Sharable 3rd generation website";71.61;1
154;"ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus";48;"Organic didactic implementation";14.91;1
155;"lorem integer tincidunt ante vel ipsum";17;"Right-sied fresh-thinking initiative";94.16;1
156;"consectetuer adipiscing elit proin interdum mauris";32;"Pre-emptive real-time throughput";95.25;1
157;"id sapien in sapien iaculis congue vivamus";44;"Quality-focused client-driven website";92.05;1
158;"odio donec vitae nisi nam ultrices libero non mattis pulvinar";23;"Reverse-engineered user-facing open system";43.59;1
159;"luctus et ultrices posuere cubilia curae nulla dapibus dolor vel";5;"Vision-oriented contextually-based contingency";24.8;1
160;"ut nulla sed accumsan felis ut at dolor";36;"Down-sied interactive application";98.82;1
161;"nunc purus phasellus in felis";21;"Grass-roots composite attitude";28.28;1
162;"id ligula suspendisse ornare consequat lectus in est";34;"Vision-oriented full-range architecture";7.49;1
163;"ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue";24;"Extended disintermediate complexity";72.53;1
164;"non sodales sed tincidunt eu felis fusce posuere felis sed";6;"Decentralied user-facing firmware";76.68;1
165;"in congue etiam justo etiam pretium";46;"Diverse systematic infrastructure";53.35;1
166;"donec ut dolor morbi vel lectus in quam fringilla";34;"Compatible non-volatile time-frame";80.46;1
167;"blandit lacinia erat vestibulum sed magna";9;"Synergistic intangible interface";70.13;1
168;"pretium iaculis justo in hac habitasse platea";49;"Integrated dynamic architecture";92.24;1
169;"duis aliquam convallis nunc proin at turpis";52;"Stand-alone discrete open architecture";50.95;1
170;"aliquam quis turpis eget elit";34;"Customer-focused logistical matrix";89.48;1
171;"in sapien iaculis congue vivamus metus arcu adipiscing";36;"Open-architected incremental installation";18.77;1
172;"quis odio consequat varius integer ac";25;"Progressive demand-driven superstructure";30.86;1
173;"ipsum aliquam non mauris morbi non lectus";48;"Function-based hybrid moderator";78.31;1
174;"dictumst morbi vestibulum velit id pretium iaculis diam erat";31;"Focused transitional firmware";69.91;1
175;"risus auctor sed tristique in";53;"Stand-alone bottom-line capability";26.51;1
176;"in felis donec semper sapien a libero nam";48;"Phased ero tolerance algorithm";52.82;1
177;"luctus rutrum nulla tellus in";37;"Customer-focused ero administration paradigm";5.45;1
178;"primis in faucibus orci luctus et ultrices posuere cubilia";42;"Balanced next generation project";34.54;1
179;"integer aliquet massa id lobortis convallis tortor risus";33;"Total explicit policy";34.29;1
180;"et ultrices posuere cubilia curae duis faucibus accumsan odio";20;"Pre-emptive dynamic capability";41.59;1
181;"cum sociis natoque penatibus et magnis dis parturient";43;"Optional system-worthy Graphic Interface";12.1;1
182;"fusce lacus purus aliquet at feugiat non pretium";43;"Centralied motivating open system";97.17;1
183;"eros suspendisse accumsan tortor quis turpis sed ante vivamus";31;"Networked dynamic superstructure";86.46;1
184;"tortor sollicitudin mi sit amet lobortis";43;"Centralied object-oriented encryption";84.63;1
185;"amet consectetuer adipiscing elit proin risus";25;"Triple-buffered bi-directional moratorium";46.4;1
186;"aliquam quis turpis eget elit sodales scelerisque mauris sit";19;"Balanced leading edge focus group";68.22;1
187;"erat fermentum justo nec condimentum neque sapien";41;"Down-sied composite policy";33.2;1
188;"a ipsum integer a nibh in quis justo maecenas";25;"Synchronised holistic product";2.72;1
189;"nisl aenean lectus pellentesque eget nunc donec quis orci eget";18;"Versatile systemic capacity";33.52;1
190;"etiam pretium iaculis justo in hac habitasse platea";37;"Fundamental tertiary time-frame";6.62;1
191;"nisl nunc nisl duis bibendum felis sed";18;"Organic hybrid neural-net";83.7;1
192;"id sapien in sapien iaculis";19;"Front-line composite capacity";3.52;1
193;"sapien a libero nam dui";53;"Mandatory transitional internet solution";44.76;1
194;"pellentesque at nulla suspendisse potenti cras";12;"Multi-lateral dynamic monitoring";85.83;1
195;"cras pellentesque volutpat dui maecenas tristique est";44;"Adaptive impactful protocol";68.72;1
196;"sit amet eros suspendisse accumsan tortor quis";26;"Secured upward-trending synergy";36.56;1
197;"tincidunt eu felis fusce posuere felis";20;"Managed mobile portal";13.66;1
198;"id pretium iaculis diam erat fermentum";33;"Re-contextualied modular database";38.45;1
199;"duis aliquam convallis nunc proin at turpis a pede";37;"Synergied motivating core";28.18;1
200;"eros viverra eget congue eget semper rutrum nulla nunc";48;"Cross-group value-added artificial intelligence";79.27;1
201;"nulla suscipit ligula in lacus curabitur at ipsum";50;"Enterprise-wide tertiary Graphic Interface";12.92;1
202;"elit proin interdum mauris non ligula pellentesque ultrices";50;"Robust demand-driven emulation";76.14;1
203;"varius ut blandit non interdum";48;"Implemented leading edge contingency";22.61;1
204;"justo pellentesque viverra pede ac diam";34;"Open-source asynchronous alliance";70.67;1
205;"dui proin leo odio porttitor id";47;"Re-contextualied interactive methodology";37.69;1
206;"massa id lobortis convallis tortor risus dapibus";15;"Monitored value-added support";34.78;1
207;"mattis odio donec vitae nisi";39;"User-friendly analying monitoring";13.56;1
208;"amet diam in magna bibendum imperdiet nullam";36;"Extended system-worthy circuit";37.92;1
209;"nulla neque libero convallis eget eleifend luctus";38;"Ergonomic ero tolerance success";74.47;1
210;"augue luctus tincidunt nulla mollis molestie lorem quisque";25;"User-centric 24 hour pricing structure";7.02;1
211;"curabitur convallis duis consequat dui nec";16;"Grass-roots ero defect info-mediaries";51.31;1
212;"ornare consequat lectus in est risus auctor";6;"Re-engineered secondary initiative";44.5;1
213;"orci luctus et ultrices posuere";39;"Switchable actuating interface";21.78;1
214;"dolor quis odio consequat varius integer ac leo pellentesque";33;"Operative needs-based approach";34.21;1
215;"quis lectus suspendisse potenti in eleifend quam a odio in";31;"Fully-configurable needs-based implementation";12.68;1
216;"aliquet pulvinar sed nisl nunc rhoncus";20;"Business-focused clear-thinking knowledge base";23.83;1
217;"amet cursus id turpis integer";45;"Quality-focused discrete alliance";34.53;1
218;"libero ut massa volutpat convallis";42;"Total value-added task-force";95.12;1
219;"nec dui luctus rutrum nulla tellus in sagittis";33;"Multi-channelled system-worthy info-mediaries";81.33;1
220;"risus dapibus augue vel accumsan tellus nisi eu orci mauris";12;"Configurable holistic capacity";66.45;1
221;"tempor convallis nulla neque libero convallis";29;"User-centric analying capability";51.05;1
222;"integer non velit donec diam neque";11;"Upgradable analying firmware";10.71;1
223;"semper porta volutpat quam pede lobortis";30;"Fundamental multi-state pricing structure";11.09;1
224;"iaculis justo in hac habitasse platea dictumst etiam faucibus cursus";10;"Proactive upward-trending encoding";36.73;1
225;"volutpat dui maecenas tristique est et tempus";7;"Realigned discrete support";60.79;1
226;"commodo vulputate justo in blandit ultrices enim lorem";29;"Proactive ero defect collaboration";99.92;1
227;"mauris sit amet eros suspendisse accumsan tortor quis turpis";53;"Assimilated global core";37.87;1
228;"eleifend pede libero quis orci nullam molestie nibh";40;"Re-contextualied discrete matrices";84.38;1
229;"lectus in quam fringilla rhoncus mauris enim leo rhoncus sed";24;"Seamless radical website";8.53;1
230;"erat id mauris vulputate elementum nullam varius nulla facilisi cras";13;"Innovative transitional concept";58.94;1
231;"velit vivamus vel nulla eget eros";49;"Balanced global time-frame";7.19;1
232;"congue vivamus metus arcu adipiscing";10;"Configurable background solution";55.32;1
233;"aliquam erat volutpat in congue etiam justo etiam";41;"Configurable context-sensitive collaboration";37.01;1
234;"non velit nec nisi vulputate nonummy";15;"Persevering next generation collaboration";87.65;1
235;"nunc proin at turpis a pede posuere";32;"Object-based mobile service-desk";39.82;1
236;"morbi non lectus aliquam sit amet diam in magna";32;"Polarised secondary challenge";62.85;1
237;"cubilia curae donec pharetra magna vestibulum aliquet ultrices";32;"Mandatory object-oriented project";76.44;1
238;"erat volutpat in congue etiam justo etiam pretium iaculis";29;"Reverse-engineered dedicated flexibility";90.09;1
239;"consequat morbi a ipsum integer a nibh in quis justo";46;"Right-sied modular monitoring";88.23;1
240;"diam in magna bibendum imperdiet nullam orci pede venenatis non";35;"Reduced 5th generation strategy";92.77;1
241;"habitasse platea dictumst aliquam augue quam sollicitudin vitae";30;"Business-focused optimiing middleware";16.96;1
242;"et eros vestibulum ac est";22;"Assimilated executive Graphical User Interface";31.56;1
243;"sed vel enim sit amet";31;"Front-line value-added challenge";49.08;1
244;"donec vitae nisi nam ultrices libero";5;"Re-contextualied 3rd generation portal";10.18;1
245;"ac consequat metus sapien ut nunc vestibulum";5;"Configurable empowering interface";36.03;1
246;"suscipit ligula in lacus curabitur at ipsum";51;"Configurable web-enabled Graphical User Interface";59.5;1
247;"tincidunt lacus at velit vivamus vel nulla";8;"Innovative full-range task-force";75.58;1
248;"nunc vestibulum ante ipsum primis in faucibus orci luctus";13;"Function-based optimiing moratorium";81.67;1
249;"lobortis convallis tortor risus dapibus augue";41;"Seamless systemic secured line";38.98;1
250;"lacinia erat vestibulum sed magna at nunc commodo placerat praesent";23;"Universal ero administration open architecture";86.77;1
251;"massa id nisl venenatis lacinia";53;"Customiable fault-tolerant secured line";24.94;1
252;"consequat metus sapien ut nunc vestibulum";16;"Operative static intranet";57.91;1
253;"enim lorem ipsum dolor sit amet";31;"Optimied clear-thinking focus group";10.4;1
254;"penatibus et magnis dis parturient montes";42;"Team-oriented eco-centric knowledge base";75.43;1
255;"nulla nisl nunc nisl duis bibendum felis sed interdum";5;"Switchable impactful adapter";18.77;1
256;"magna ac consequat metus sapien ut";46;"Profit-focused analying hierarchy";45.44;1
257;"faucibus cursus urna ut tellus nulla ut erat";18;"Total 6th generation extranet";85.98;1
258;"aliquet maecenas leo odio condimentum id luctus nec molestie sed";6;"Persevering bi-directional hardware";54.94;1
259;"duis faucibus accumsan odio curabitur convallis duis consequat dui nec";48;"Mandatory user-facing data-warehouse";58.72;1
260;"integer ac neque duis bibendum morbi non quam nec dui";51;"Visionary uniform focus group";51.28;1
261;"ut volutpat sapien arcu sed augue aliquam erat";49;"Switchable bifurcated encryption";18.43;1
262;"massa donec dapibus duis at velit eu est congue";11;"Integrated coherent product";77.3;1
263;"pulvinar nulla pede ullamcorper augue";45;"Pre-emptive radical data-warehouse";81.32;1
264;"congue eget semper rutrum nulla nunc purus phasellus";14;"Ameliorated mission-critical software";40.92;1
265;"tempus vivamus in felis eu sapien";52;"Multi-lateral optimal circuit";37.16;1
266;"est quam pharetra magna ac";16;"Customiable fault-tolerant algorithm";1.4;1
267;"habitasse platea dictumst morbi vestibulum velit";4;"Pre-emptive logistical capacity";81.83;1
268;"mattis pulvinar nulla pede ullamcorper augue a";37;"Organied 4th generation strategy";6.48;1
269;"ut massa volutpat convallis morbi odio odio elementum";16;"Sharable impactful approach";61.87;1
270;"maecenas leo odio condimentum id luctus nec molestie";40;"Phased regional methodology";77.91;1
271;"velit eu est congue elementum in";45;"Open-source human-resource circuit";28.14;1
272;"risus praesent lectus vestibulum quam sapien varius ut blandit";7;"Horiontal fresh-thinking data-warehouse";21.21;1
273;"odio donec vitae nisi nam ultrices libero";27;"Seamless high-level concept";3.71;1
274;"pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus";46;"Extended disintermediate local area network";38.87;1
275;"placerat praesent blandit nam nulla integer pede justo lacinia eget";26;"Reactive grid-enabled synergy";59.81;1
276;"non velit nec nisi vulputate nonummy maecenas tincidunt lacus at";23;"Proactive object-oriented moderator";87.63;1
277;"enim lorem ipsum dolor sit amet";24;"Reduced context-sensitive circuit";55.82;1
278;"donec odio justo sollicitudin ut suscipit a";21;"Optional regional interface";13.68;1
279;"primis in faucibus orci luctus et ultrices posuere";15;"Profit-focused asymmetric help-desk";75.18;1
280;"curabitur in libero ut massa volutpat";48;"Distributed 6th generation hardware";8.44;1
281;"non ligula pellentesque ultrices phasellus id sapien in sapien";50;"Intuitive tertiary contingency";15.19;1
282;"viverra diam vitae quam suspendisse";6;"Reduced next generation website";12.1;1
283;"felis fusce posuere felis sed lacus morbi";29;"Inverse contextually-based portal";89.49;1
284;"amet cursus id turpis integer aliquet massa id lobortis convallis";37;"Visionary fault-tolerant core";53.39;1
285;"sit amet eros suspendisse accumsan tortor quis";45;"Quality-focused context-sensitive concept";81.34;1
286;"sollicitudin vitae consectetuer eget rutrum at";23;"Down-sied real-time workforce";35.52;1
